,city,lat,lng
153,Monterey Park,34.051522,-118.129807
154,South Whittier,33.9366769,-118.0288059
155,Cupertino,37.3228934,-122.0322895
156,Woodland,38.6786109,-121.7733285
157,Gardena,33.8963593,-118.3053037
158,Porterville,36.06523,-119.0167679
159,La Mesa,32.7678288,-117.0230839
160,San Rafael,37.9735346,-122.5310874
161,Huntington Park,33.9827043,-118.2120343
162,Arcadia,34.1362075,-118.0401497
163,Santee,32.8383828,-116.9739167
164,Gilroy,37.0065078,-121.5631723
165,Hanford,36.3274502,-119.6456844
166,Diamond Bar,34.0286226,-117.8103367
167,Fountain Valley,33.7038145,-117.9627349
168,Novato,38.1061979,-122.5681191
169,Hacienda Heights,33.9930677,-117.968675
170,Highland,34.1283442,-117.2086513
171,Colton,34.0739016,-117.3136547
172,Paramount,33.898917,-118.171005
173,Cathedral City,33.822998,-116.4668702
174,Rosemead,34.0676169,-118.0879763
175,Watsonville,36.9092773,-121.7529071
176,Yucaipa,34.033625,-117.0430865
177,West Sacramento,38.5804609,-121.530234
178,Delano,35.7688425,-119.2470536
179,Palm Desert,33.7407996,-116.3693698
180,Placentia,33.8714814,-117.8617337
181,Glendora,34.1361187,-117.865339
182,Aliso Viejo,33.5761376,-117.7258122
183,Rowland Heights,33.9761238,-117.905339
184,Cerritos,33.8644291,-118.0539323
185,Azusa,34.1338751,-117.9056046
186,Poway,32.9628234,-117.0358646
187,Cypress,33.8248235,-118.0399368
188,La Mirada,33.9060971,-118.0107092
189,Rancho Santa Margarita,33.6408845,-117.6029341
190,Antelope,38.7082357,-121.3299513
191,Ceres,37.5949316,-120.9577098
192,Covina,34.0821496,-117.8721238
193,San Jacinto,33.7839664,-116.9589086
194,Palm Springs,33.7721794,-116.4952977
195,North Highlands,38.6710975,-121.3879538
196,Florin,38.4897561,-121.4057375
197,Lincoln,38.8915741,-121.29318
198,San Luis Obispo,35.3540209,-120.3757163
199,Newark,37.5296593,-122.0402399
200,Beaumont,33.9294606,-116.977248
201,El Dorado Hills,38.6795051,-121.059366
202,Coachella,33.686566,-116.1532775
203,Altadena,34.1863161,-118.1352329
204,Morgan Hill,37.130408,-121.6544974
205,Danville,37.8215929,-121.9999606
206,El Centro,32.792,-115.5630514
